timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,position
3416431332,1,2,-3,-3,1,-20,-43,-13,1
3416431332,-2,-3,1,1,-1,5,18,-22,1
3416432087,-10,4,3,-3,-5,-38,34,46,1
3416432087,14,-1,-2,-1,4,1,0,-30,1
3416453821,-1,20,3,1,-2,3,-5,0,1
3416453821,0,-8,-4,1,-4,-7,-6,6,1
3416454537,3,5,2,-6,-8,-11,19,2,1
3416454537,-16,6,3,-6,-6,-39,9,6,1
3416476368,9,-5,-2,4,6,47,24,4,1
3416476368,0,-7,0,-3,1,10,-6,15,1
3416477070,-13,-4,2,-5,-7,-49,-20,-20,1
3416477070,6,1,-2,5,5,45,12,27,1
3416491294,-3,-4,-3,-2,-5,0,-8,-5,1
3416491294,0,6,-4,8,13,4,15,5,1
3416492046,-6,4,3,-1,0,54,-66,-29,1
3416492046,9,-2,0,2,-3,-4,15,-13,1
3416513938,-1,11,1,-1,4,10,-14,-20,1
3416513938,-11,-18,0,-7,-6,-64,-18,25,1
3416514814,-1,-1,1,-4,1,-7,-27,0,1
3416514814,-1,2,2,-1,-5,14,-5,-5,1
3416536358,5,2,0,3,6,38,9,-7,1
3416536358,-1,0,-1,1,1,-6,-19,-4,1
3416537170,5,-1,-1,-1,-4,17,34,-14,1
3416537170,1,-7,-3,2,3,-6,24,11,1
3416551368,-6,-2,0,-8,-7,-32,-42,-2,1
3416551368,-5,-7,0,-5,-7,-16,10,5,1
3416552074,5,-6,-2,7,1,-18,4,-7,1
3416552074,5,-1,-2,4,7,41,19,4,1
3416573861,-24,-1,4,-5,-6,-1,-3,-30,1
3416573861,10,5,1,2,-1,-7,27,21,1
3416574606,-12,-3,0,-5,1,13,18,-13,1
3416574606,-7,5,2,-9,-7,-60,-38,-12,1
3416596285,14,0,-2,3,6,37,2,14,1
3416596285,-12,-5,4,-2,-8,-14,-4,-29,1
3416597091,5,-1,-2,4,7,43,5,5,1
3416597091,-7,-7,-1,-2,-4,3,-23,-11,1
3416611223,7,2,3,-2,2,-53,-1,20,1
3416611223,-7,3,1,-4,-5,13,17,-7,1
3416612060,0,1,0,-6,-10,-50,-68,7,1
3416612060,6,-7,-2,6,8,44,46,-5,1
3416633730,-6,-3,-1,-3,-8,-29,-6,3,1
3416633730,7,5,-1,8,11,24,14,20,1
3416634532,-2,-2,-2,1,-1,-11,-10,-5,1
3416634532,-7,-10,-1,-7,-10,-26,-20,-9,1
3416656224,1,4,1,0,3,2,11,-6,1
3416656224,14,5,-2,3,-1,40,33,24,1
3416657057,1,-6,-5,-3,1,9,33,2,1
3416657057,2,-4,-3,6,5,11,22,-1,1
3416671240,-8,2,2,-5,-1,9,-62,-22,1
3416671240,-5,-5,3,-1,8,18,14,-15,1
